Datum;Scale
01.11.2021 00:00;10.86
01.11.2021 00:10;10.84
01.11.2021 00:20;10.82
01.11.2021 00:30;10.86
01.11.2021 00:40;10.9
01.11.2021 00:50;10.88
01.11.2021 01:00;10.89
01.11.2021 01:10;10.9
01.11.2021 01:20;10.85
01.11.2021 01:30;10.83
01.11.2021 01:40;10.83
01.11.2021 01:50;10.88
01.11.2021 02:00;10.89
01.11.2021 02:10;10.84
01.11.2021 02:20;10.82
01.11.2021 02:30;10.81
01.11.2021 02:40;10.8
01.11.2021 02:50;10.81
01.11.2021 03:00;10.8
01.11.2021 03:10;10.87
01.11.2021 03:20;10.86
01.11.2021 03:30;10.83
01.11.2021 03:40;10.81
01.11.2021 03:50;10.78
01.11.2021 04:00;10.79
01.11.2021 04:10;10.85
01.11.2021 04:20;10.84
01.11.2021 04:30;10.87
01.11.2021 04:40;10.82
01.11.2021 04:50;10.77
01.11.2021 05:00;10.76
01.11.2021 05:10;10.79
01.11.2021 05:20;10.8
01.11.2021 05:30;10.84
01.11.2021 05:40;10.85
01.11.2021 05:50;10.89
01.11.2021 06:00;10.9
01.11.2021 06:10;10.85
01.11.2021 06:20;10.81
01.11.2021 06:30;10.81
01.11.2021 06:40;10.81
01.11.2021 06:50;10.81
01.11.2021 07:00;10.8
01.11.2021 07:10;10.82
01.11.2021 07:20;10.82
01.11.2021 07:30;10.79
01.11.2021 07:40;10.78
01.11.2021 07:50;10.77
01.11.2021 08:00;10.76
01.11.2021 08:10;10.71
01.11.2021 08:20;10.68
01.11.2021 08:30;10.63
01.11.2021 08:40;10.62
01.11.2021 08:50;10.61
01.11.2021 09:00;10.6
01.11.2021 09:10;10.58
01.11.2021 09:20;10.53
01.11.2021 09:30;10.52
01.11.2021 09:40;10.49
01.11.2021 09:50;10.5
01.11.2021 10:00;10.49
01.11.2021 10:10;10.51
01.11.2021 10:20;10.54
01.11.2021 10:30;10.72
01.11.2021 10:40;10.85
01.11.2021 10:50;10.92
01.11.2021 11:00;10.92
01.11.2021 11:10;10.91
01.11.2021 11:20;10.98
01.11.2021 11:30;11.06
01.11.2021 11:40;11.07
01.11.2021 11:50;11.02
01.11.2021 12:00;11.08
01.11.2021 12:10;11.09
01.11.2021 12:20;11.1
01.11.2021 12:30;11.11
01.11.2021 12:40;11.12
01.11.2021 12:50;11.18
01.11.2021 13:00;11.2
01.11.2021 13:10;11.23
01.11.2021 13:20;11.25
01.11.2021 13:30;11.26
01.11.2021 13:40;11.37
01.11.2021 13:50;11.95
01.11.2021 14:00;12.73
01.11.2021 14:10;13.65
01.11.2021 14:20;14.54
01.11.2021 14:30;15.65
01.11.2021 14:40;16.79
01.11.2021 14:50;17.7
01.11.2021 15:00;18.59
01.11.2021 15:10;19.46
01.11.2021 15:20;20.12
01.11.2021 15:30;20.8
01.11.2021 15:40;21.65
01.11.2021 15:50;22.57
01.11.2021 16:00;23.37
01.11.2021 16:10;24.15
01.11.2021 16:20;24.98
01.11.2021 16:30;25.73
01.11.2021 16:40;26.38
01.11.2021 16:50;27.06
01.11.2021 17:00;27.77
01.11.2021 17:10;28.32
01.11.2021 17:20;29
01.11.2021 17:30;29.77
01.11.2021 17:40;30.37
01.11.2021 17:50;30.91
01.11.2021 18:00;31.38
01.11.2021 18:10;31.81
01.11.2021 18:20;32.15
01.11.2021 18:30;32.35
01.11.2021 18:40;32.39
01.11.2021 18:50;32.39
01.11.2021 19:00;32.42
01.11.2021 19:10;32.49
01.11.2021 19:20;32.51
01.11.2021 19:30;32.57
01.11.2021 19:40;32.65
01.11.2021 19:50;32.7
01.11.2021 20:00;32.73
01.11.2021 20:10;32.79
01.11.2021 20:20;32.8
01.11.2021 20:30;32.9
01.11.2021 20:40;32.99
01.11.2021 20:50;33.13
01.11.2021 21:00;33.33
01.11.2021 21:10;33.49
01.11.2021 21:20;33.64
01.11.2021 21:30;33.68
01.11.2021 21:40;33.74
01.11.2021 21:50;33.8
01.11.2021 22:00;33.82
01.11.2021 22:10;33.81
01.11.2021 22:20;33.77
01.11.2021 22:30;33.7
01.11.2021 22:40;33.68
01.11.2021 22:50;33.64
01.11.2021 23:00;33.6
01.11.2021 23:10;33.54
01.11.2021 23:20;33.5
01.11.2021 23:30;33.44
01.11.2021 23:40;33.4
01.11.2021 23:50;33.37
02.11.2021 00:00;33.34
02.11.2021 00:10;33.25
02.11.2021 00:20;33.18
02.11.2021 00:30;33.18
02.11.2021 00:40;33.13
02.11.2021 00:50;33.1
02.11.2021 01:00;33.1
02.11.2021 01:10;33.1
02.11.2021 01:20;33.03
02.11.2021 01:30;32.98
02.11.2021 01:40;32.9
02.11.2021 01:50;32.85
02.11.2021 02:00;32.79
02.11.2021 02:10;32.58
02.11.2021 02:20;32.52
02.11.2021 02:30;32.41
02.11.2021 02:40;32.4
02.11.2021 02:50;32.37
02.11.2021 03:00;32.48
02.11.2021 03:10;32.52
02.11.2021 03:20;32.47
02.11.2021 03:30;32.44
02.11.2021 03:40;32.37
02.11.2021 03:50;32.28
02.11.2021 04:00;32.22
02.11.2021 04:10;32.14
02.11.2021 04:20;32.04
02.11.2021 04:30;31.93
02.11.2021 04:40;31.69
02.11.2021 04:50;31.46
02.11.2021 05:00;31.32
02.11.2021 05:10;31.29
02.11.2021 05:20;31.24
02.11.2021 05:30;31.2
02.11.2021 05:40;31.11
02.11.2021 05:50;31.02
02.11.2021 06:00;30.89
02.11.2021 06:10;30.68
02.11.2021 06:20;30.5
02.11.2021 06:30;30.35
02.11.2021 06:40;30.15
02.11.2021 06:50;30.02
02.11.2021 07:00;29.87
02.11.2021 07:10;29.75
02.11.2021 07:20;29.59
02.11.2021 07:30;29.45
02.11.2021 07:40;29.26
